provinsi;tahun;mpi;kemiskinan_moneter;ipm;jumlah_penduduk
 Aceh;2019;0,077817;15,32;71,9;5316,3
 Sumatera Utara;2019;0,071072;8,83;71,74;14639,4
 Sumatera Barat;2019;0,081545;6,42;72,39;5479,5
 Riau;2019;0,078919;7,08;73;6835,1
 Jambi;2019;0,083528;7,6;71,26;3566,2
 Sumatera Selatan;2019;0,088925;12,71;70,02;8497,2
 Bengkulu;2019;0,081398;15,23;71,21;1971,8
 Lampung;2019;0,080444;12,62;69,57;8457,6
 Kep. Bangka Belitung;2019;0,057592;4,62;71,3;1451,1
 Kepulauan Riau;2019;0,037504;5,9;75,48;2241,6
 DKI Jakarta;2019;0,020536;3,47;80,76;10504,1
 Jawa Barat;2019;0,070323;6,91;72,03;49023,2
 Jawa Tengah;2019;0,060888;10,8;71,73;34552,5
 D I Yogyakarta;2019;0,01715;11,7;79,99;3868,6
 Jawa Timur;2019;0,05792;10,37;71,5;39744,8
 Banten;2019;0,076238;5,09;72,44;12714,3
 Bali;2019;0,026724;3,79;75,38;4362
 Nusa Tenggara Barat;2019;0,055892;14,56;68,14;5152,4
 Nusa Tenggara Timur;2019;0,231395;21,09;65,23;5437,2
 Kalimantan Barat;2019;0,120735;7,49;67,65;5045,7
 Kalimantan Tengah;2019;0,098686;4,98;70,91;2649,8
 Kalimantan Selatan;2019;0,072833;4,55;70,72;4216,3
 Kalimantan Timur;2019;0,045526;5,94;76,61;3619,7
 Kalimantan Utara;2019;0,086749;6,63;71,15;695,6
 Sulawesi Utara;2019;0,076895;7,66;72,99;2494,1
 Sulawesi Tengah;2019;0,132818;13,48;69,5;3042,1
 Sulawesi Selatan;2019;0,074288;8,69;71,66;8819,5
 Sulawesi Tenggara;2019;0,096635;11,24;71,2;2663,7
 Gorontalo;2019;0,095442;15,52;68,49;1176,4
 Sulawesi Barat;2019;0,122475;11,02;65,73;1359,2
 Maluku;2019;0,161295;17,69;69,45;1768,5
 Maluku Utara;2019;0,187211;6,77;68,7;1235,7
 Papua Barat;2019;0,132409;22,17;64,7;963,6
 Papua;2019;0,22799;27,53;60,84;3347,1
Indonesia;2019;0,074482;9,41;71,92;266911,9
 Aceh;2020;0,061;14,99;71,99;5 275
 Sumatera Utara;2020;0,069;8,75;71,77;14 799
 Sumatera Barat;2020;0,073;6,28;72,38;5 534
 Riau;2020;0,069;6,82;72,71;6 394
 Jambi;2020;0,068;7,58;71,29;3 548
 Sumatera Selatan;2020;0,079;12,66;70,01;8 467
 Bengkulu;2020;0,070;15,03;71,40;2 011
 Lampung;2020;0,071;12,34;69,69;9 008
 Kep. Bangka Belitung;2020;0,059;4,53;71,47;1 456
 Kepulauan Riau;2020;0,033;5,92;75,59;2 065
 DKI Jakarta;2020;0,022;4,53;80,77;10 562
 Jawa Barat;2020;0,062;7,88;72,09;48 274
 Jawa Tengah;2020;0,050;11,41;71,87;36 516
 D I Yogyakarta;2020;0,017;12,28;79,97;3 669
 Jawa Timur;2020;0,049;11,09;71,71;40 666
 Banten;2020;0,062;5,92;72,45;11 905
 Bali;2020;0,021;3,78;75,50;4 317
 Nusa Tenggara Barat;2020;0,048;13,97;68,25;5 320
 Nusa Tenggara Timur;2020;0,217;20,90;65,19;5 326
 Kalimantan Barat;2020;0,101;7,17;67,66;5 414
 Kalimantan Tengah;2020;0,088;4,82;71,05;2 670
 Kalimantan Selatan;2020;0,068;4,38;70,91;4 074
 Kalimantan Timur;2020;0,041;6,10;76,24;3 766
 Kalimantan Utara;2020;0,078;6,80;70,63;702
 Sulawesi Utara;2020;0,061;7,62;72,93;2 622
 Sulawesi Tengah;2020;0,115;12,92;69,55;2 986
 Sulawesi Selatan;2020;0,066;8,72;71,93;9 074
 Sulawesi Tenggara;2020;0,088;11,00;71,45;2 625
 Gorontalo;2020;0,090;15,22;68,68;1 172
 Sulawesi Barat;2020;0,122;10,87;66,11;1 419
 Maluku;2020;0,149;17,44;69,49;1 849
 Maluku Utara;2020;0,180;6,78;68,49;1 283
 Papua Barat;2020;0,133;21,37;65,09;1 134
 Papua;2020;0,210;26,64;60,44;4 304
Indonesia;2020;0,066;9,78;71,94;270 204
 Aceh;2021;0,048048463;15,33;72,18;5333,733
 Sumatera Utara;2021;0,051016167;9,01;72;14936,148
 Sumatera Barat;2021;0,063511857;6,63;72,65;5580,232
 Riau;2021;0,056487604;7,12;72,94;6493,603
 Jambi;2021;0,055938342;8,09;71,63;3585,119
 Sumatera Selatan;2021;0,062447439;12,84;70,24;8550,849
 Bengkulu;2021;0,048043929;15,22;71,64;2032,942
 Lampung;2021;0,048840764;12,62;69,9;9081,792
 Kep. Bangka Belitung;2021;0,050472086;4,9;71,69;1473,165
