main_indicator;indicator;sub_indicator;alias
Ekonomi;Ekspor-Impor;Indeks Unit Value Ekspor/Impor;['ekspor', 'impor', 'neraca perdagangan']
Ekonomi;Transportasi;Rasio Penumpang per Pesawat Udara ;['rasio penumpang per pesawat udara', 'RPPU', 'penumpang per pesawat', 'jumlah penumpang angkutan udara', 'pengguna angkutan udara', 'jumlah pengguna angkutan udara']
Ekonomi;Transportasi;Rasio Barang per Pesawat Udara ;['rasio barang per pesawat udara', 'RBPU', 'jumlah barang yang diangkut', 'rasio jumlah barang per pesawat']
Ekonomi;Transportasi;Rasio Penumpang per Kapal ;['rasio penumpang per kapal', 'RPK', 'jumlah penumpang angkutan laut', 'penumpang angkutan laut']
Ekonomi;Transportasi;Rasio Barang per Kapal ;['rasio barang per kapal', 'RBK', 'jumlah barang yang dibongkar', 'jumlah barang yang dimuat', 'jumlah barang yang diangkut naik', 'jumlah barang yang diangkut turun']
Ekonomi;Transportasi;Rasio Penduduk terhadap Mobil Penumpang ;['rasio penduduk terhadap mobil penumpang', 'RPMP']
Ekonomi;Transportasi;Rasio Penduduk terhadap Kendaraan Bermotor ;['rasio penduduk terhadap kendaraan bermotor', 'RPKB']
Ekonomi;Transportasi;Rasio Penduduk terhadap Bus Umum ;['rasio penduduk terhadap bus umum', 'RPBU']
Ekonomi;Transportasi;Jumlah Kendaraan Bermotor ;['jumlah kendaraan bermotor']
Ekonomi;Transportasi;Panjang Jalan ;['panjang jalan']
Ekonomi;Transportasi;Rasio Kendaraan Bermotor terhadap Panjang Jalan;['rasio kendaraan bermotor terhadap panjang jalan', 'RKBPJ']
Ekonomi;Indeks Harga Perdagangan Besar;Indeks Harga Perdagangan Besar (IHPB);['Indeks Harga Perdagangan Besar (IHPB)', 'indeks harga perdagangan besar','IHPB']
Ekonomi;Inflasi;Indeks Harga Konsumen (IHK);['Indeks Harga Konsumen (IHK)', 'indeks harga konsumen','IHK']
